股票代码,股票名称,东财行业,申万一级,申万二级,申万三级,概念标签,数据日期
002359,北讯退,,信息技术,通信设备,通信配套服务,,2026-09-18
002360,ST同德,化学制品,基础化工,化学制品,民爆制品,2026中报首亏、ST股、光伏概念、化学制品、参股银行、基础化工、山西板块、民爆制品、民爆概念、降解塑料,2026-09-18
002361,神剑股份,塑料,基础化工,塑料,合成树脂,2026中报首亏、低空经济、军工、军民融合、卫星导航、合成树脂、商业航天、基础化工、塑料、央国企改革、安徽板块、小盘成长、小盘股、深股通、碳纤维、磁悬浮概念、融资融券,2026-09-18
002362,汉王科技,软件开发,计算机,软件开发,垂直应用软件,AI应用、ChatGPT概念、DeepSeek概念、云计算、互联网医疗、人工智能、信创、北京板块、参股新三板、国产芯片、在线教育、垂直应用软件、基因测序、大数据、安防概念、数字阅读、智慧城市、智能穿戴、智能驾驶、机器人概念、机器视觉、消费电子概念、深股通、生物识别、电子纸概念、电子身份证、破发股、破增发价股、融资融券、计算机、软件开发,2026-09-18
002363,隆基机械,汽车零部件,汽车,汽车零部件,底盘与发动机系统,军工、华为汽车、山东板块、底盘与发动机系统、新能源车、智能驾驶、汽车、汽车零部件、特斯拉概念、破增发价股,2026-09-18
002364,中恒电气,其他电源设备Ⅱ,电力设备,其他电源设备Ⅱ,其他电源设备Ⅲ,5G概念、东数西算、人工智能、储能概念、充电桩、光伏概念、其他电源设备Ⅱ、其他电源设备Ⅲ、华为概念、富时罗素、小盘成长、小盘股、工业互联网、换电概念、数据中心、数据要素、智能电网、机构重仓、标准普尔、核能核电、氮化镓、浙江板块、深股通、特高压、电力设备、电网概念、百度概念、碳交易、第三代半导体、算力概念、虚拟电厂、融资融券、边缘计算、通信技术、长江三角、阿里概念、高压快充、高成长股,2026-09-18
002365,永安药业,化学制药,医药生物,化学制药,原料药,2026中报预增、一带一路、化学制药、医药生物、原料药、宠物经济、新消费、氢能源、深股通、湖北板块、石墨烯,2026-09-18
002366,融发核电,其他电源设备Ⅱ,电力设备,其他电源设备Ⅱ,其他电源设备Ⅲ,其他电源设备Ⅱ、其他电源设备Ⅲ、可控核聚变、四川板块、央国企改革、小盘股、新能源、机构重仓、标准普尔、核能核电、海工装备、深股通、电力设备、破发股、节能环保、融资融券、西部大开发,2026-09-18
002367,康力电梯,专用设备,机械设备,专用设备,楼宇设备,专用设备、人工智能、养老金、创投、富时罗素、工业互联网、机械设备、楼宇设备、江苏板块、深股通、物联网、独角兽、破增发价股、股权激励、融资融券、长江三角,2026-09-18
002368,太极股份,IT服务Ⅱ,计算机,IT服务Ⅱ,IT服务Ⅲ,2026中报首亏、DRG/DIP、IT服务Ⅱ、IT服务Ⅲ、中特估、云计算、互联网服务、信创、军民融合、创新医疗服务、北京板块、华为概念、国产软件、国资云概念、大数据、央国企改革、富时罗素、小盘价值、小盘股、工业互联网、数字经济、数字货币、数据确权、数据要素、智慧城市、智慧政务、标准普尔、水利建设、海南自贸、深成500、深股通、网络安全、融资融券、计算机、财税数字化、超跌股、跨境支付,2026-09-18
002369,卓翼科技,消费电子,电子,消费电子,消费电子零部件及组装,C2M概念、WiFi、创投、区块链、华为概念、广东板块、无线耳机、智能穿戴、机器人概念、消费电子、消费电子概念、消费电子零部件及组装、深圳特区、深股通、物联网、电子、股权分散、虚拟现实、融资融券、通信技术、高市净率,2026-09-18
002370,亚太药业,化学制药,医药生物,化学制药,化学制剂,2026中报首亏、创新药、化学制剂、化学制药、医药生物、工业大麻、幽门螺杆菌概念、机构重仓、标准普尔、浙江板块、深股通、病原体防治、股权分散、融资融券、长江三角,2026-09-18
002371,北方华创,半导体,电子,半导体,半导体设备,HS300_、MSCI中国、中芯概念、先进封装、光伏概念、光刻机、北京板块、半导体、半导体概念、半导体设备、华为概念、华为海思、国产芯片、基金重仓、大盘成长、大盘股、央国企改革、存储芯片、宁组合、富时罗素、权重股、标准普尔、氮化镓、深成500、深股通、深证100R、电子、电池技术、百元股、科技风格、第三代半导体、茅指数、融资融券、锂电池概念、高带宽内存,2026-09-18
002372,伟星新材,装修建材,建筑材料,装修建材,管材,地下管网、富时罗素、小盘价值、小盘股、建筑材料、新材料、标准普尔、浙江板块、海洋经济、海绵城市、深成500、深股通、管材、融资融券、装修建材、长江三角,2026-09-18
002373,千方科技,IT服务Ⅱ,计算机,IT服务Ⅱ,IT服务Ⅲ,2026中报首亏、AIGC概念、AI智能体、ETC、IT服务Ⅱ、IT服务Ⅲ、互联网服务、互联网金融、人工智能、低空经济、元宇宙概念、北京板块、华为概念、安防概念、富时罗素、小盘股、数据要素、智能驾驶、标准普尔、深成500、深股通、物联网、电子车牌、百度概念、破增发价股、蚂蚁金服概念、融资融券、计算机、超清视频、车联网(车路云)、雄安新区,2026-09-18
002374,中锐股份,包装印刷,轻工制造,包装印刷,金属包装,PPP模式、包装印刷、包装材料、化债(AMC)概念、区块链、山东板块、白酒、破发股、融资融券、轻工制造、金属包装,2026-09-18
002375,亚厦股份,装修装饰Ⅱ,建筑装饰,装修装饰Ⅱ,装修装饰Ⅲ,3D打印、低市净率、创投、垃圾分类、富时罗素、建筑装饰、新型城镇化、智能家居、标准普尔、浙江板块、深股通、百度概念、破净股、破发股、破增发价股、融资融券、装修装饰Ⅱ、装修装饰Ⅲ、装配建筑、长期破净、长江三角,2026-09-18
002376,新北洋,计算机设备,计算机,计算机设备,其他计算机设备,2025三季报预增、2026一季报预增、2026中报预增、人工智能、传感器、信创、其他计算机设备、国产软件、富时罗素、山东板块、彩票概念、快递概念、数字货币、新零售、智慧政务、机器人概念、机器视觉、标准普尔、深股通、物联网、盲盒经济、破增发价股、融资融券、计算机、计算机设备、高成长股,2026-09-18
002377,国创高新,炼化及贸易,石油石化,炼化及贸易,其他石化,2026中报预增、其他石化、湖北板块、炼化及贸易、石油石化、破发股、趋势股,2026-09-18
002378,章源钨业,小金属,有色金属,小金属,钨,2026中报预增、中盘股、养老金、小金属、小金属概念、有色金属、江西板块、深成500、深股通、稀缺资源、融资融券、钨,2026-09-18
002379,宏桥控股,工业金属,有色金属,工业金属,铝,2026中报预增、光伏概念、大盘价值、大盘股、山东板块、工业金属、并购重组概念、有色金属、深股通、股权集中、融资融券、铝、长期破净、风能,2026-09-18
002380,科远智慧,IT服务Ⅱ,计算机,IT服务Ⅱ,IT服务Ⅲ,AI应用、IT服务Ⅱ、IT服务Ⅲ、QFII重仓、专精特新、互联网服务、人工智能、信创、华为概念、国产软件、垃圾分类、工业互联网、新型工业化、智慧城市、机器人概念、江苏板块、深股通、虚拟电厂、计算机、超超临界发电、边缘计算、长江三角,2026-09-18
002381,双箭股份,橡胶,基础化工,橡胶,其他橡胶制品,2026中报预减、其他橡胶制品、养老概念、基础化工、微盘股、橡胶、浙江板块、转债标的、长江三角,2026-09-18
002382,蓝帆医疗,医疗器械,医药生物,医疗器械,医疗耗材,2026中报扭亏、医疗器械、医疗器械概念、医疗耗材、医药生物、富时罗素、山东板块、机构重仓、标准普尔、深股通、特斯拉概念、病原体防治、病毒防治、破净股、融资融券,2026-09-18
002383,合众思壮,军工电子Ⅱ,国防军工,军工电子Ⅱ,军工电子Ⅲ,UWB概念、低空经济、军工电子Ⅱ、军工电子Ⅲ、北京板块、卫星导航、国产芯片、国防军工、大数据、央国企改革、安防概念、富时罗素、数字经济、无人机、时空大数据、智慧城市、智能驾驶、最近多板、标准普尔、水利建设、深股通、物联网、融资融券、车联网(车路云)、通信技术,2026-09-18
002384,东山精密,元件,电子,元件,印制电路板,2026一季报预增、2026中报预增、5G概念、CPO概念、HS300_、LED概念、MSCI中国、MiniLED、OLED、PCB、元件、光通信模块、创投、华为概念、印制电路板、周期股、基金重仓、大盘股、富时罗素、小米概念、数据中心、新能源车、标准普尔、江苏板块、深成500、深股通、深证100R、特斯拉概念、电子、百元股、科技风格、苹果概念、融资融券、通信技术、长江三角,2026-09-18
002385,大北农,饲料,农林牧渔,饲料,畜禽饲料,2026中报首亏、乡村振兴、乳业、互联网金融、农业种植、农林牧渔、北交所概念、北京板块、反内卷概念、合成生物、富时罗素、小盘股、机构重仓、标准普尔、水产概念、消费风格、深成500、深股通、猪肉概念、生物疫苗、畜禽饲料、破发股、破增发价股、移动支付、粮食概念、融资融券、转基因、饲料,2026-09-18
002386,天原股份,化学原料,基础化工,化学原料,氯碱,2026中报预增、化学原料、四川板块、基础化工、央国企改革、新材料、氢能源、氯碱、深股通、电池技术、破净股、破发股、磷化工、融资融券、西部大开发、钛白粉概念、锂电池概念,2026-09-18
002387,维信诺,光学光电子,电子,光学光电子,面板,MicroLED、OLED、光学光电子、富时罗素、小盘股、小米概念、屏下摄像、显示技术、智能穿戴、柔性屏(折叠屏)、标准普尔、江苏板块、消费电子概念、深股通、玻璃基板、电子、电子后视镜、破发股、荣耀概念、融资融券、面板,2026-09-18
002388,新亚制程,其他电子Ⅱ,电子,其他电子Ⅱ,其他电子Ⅲ,2026中报首亏、储能概念、充电桩、其他电子Ⅱ、其他电子Ⅲ、半导体概念、华为概念、固态电池、小米概念、无人机、昨日高振幅、昨日高换手、最近多板、氟化工概念、浙江板块、电子、电池技术、百日新高、股权分散、荣耀概念、近期新高、钠离子电池、锂电池概念,2026-09-18
002389,航天彩虹,航空装备Ⅱ,国防军工,航空装备Ⅱ,航空装备Ⅲ,2026中报扭亏、MiniLED、低空经济、光伏概念、军工、军民融合、国防军工、央国企改革、小盘价值、小盘股、新材料、新能源、无人机、柔性屏(折叠屏)、标准普尔、浙江板块、深成500、深股通、电池技术、破增发价股、航天航空、航空装备Ⅱ、航空装备Ⅲ、融资融券、被动元件概念、超级电容、锂电池概念、长江三角,2026-09-18
002390,信邦制药,医药商业,医药生物,医药商业,医药流通,中药概念、互联网医疗、低价股、医美概念、医药商业、医药流通、医药生物、富时罗素、标准普尔、深股通、独角兽、破净股、破发股、破增发价股、精准医疗、融资融券、西部大开发、贵州板块,2026-09-18
002391,长青股份,农化制品,基础化工,农化制品,农药,农化制品、农药、农药兽药、基础化工、江苏板块、破净股、破发股、节能环保、长江三角,2026-09-18
002392,北京利尔,装修建材,建筑材料,装修建材,耐火材料,2026中报预增、AI智能体、AI芯片、专精特新、北京板块、参股券商、固态电池、小金属概念、建筑材料、新材料、深股通、电池技术、算力概念、耐火材料、装修建材,2026-09-18
002393,力生制药,化学制药,医药生物,化学制药,化学制剂,2026中报预减、专精特新、中药概念、价值股、养老概念、创投、创新药、化学制剂、化学制药、医药生物、合成生物、天津板块、央国企改革、流感、深股通、特色药、电商概念、短剧互动游戏、破净股、破发股、维生素、肝素概念、融资融券,2026-09-18
002394,联发股份,纺织制造,纺织服饰,纺织制造,棉纺,2026中报预减、QFII重仓、一带一路、光伏概念、数字经济、机构重仓、棉纺、江苏板块、破净股、纺织制造、纺织服饰、贬值受益、长江三角,2026-09-18
002395,双象股份,塑料,基础化工,塑料,合成树脂,体育产业、化工原料、合成树脂、基础化工、塑料、新材料、智能家居、江苏板块、混合现实、融资融券、长江三角,2026-09-18
002396,星网锐捷,通信设备,通信,通信设备,通信网络设备及器件,2026中报预增、5G概念、AIGC概念、CPO概念、F5G概念、IPv6、WiFi、东方财富热股、人工智能、信创、元宇宙概念、光通信模块、养老金、华为概念、在线教育、基金重仓、央国企改革、富时罗素、小盘股、并购重组概念、数字经济、数字货币、数据中心、昨日高换手、智能家居、最近多板、标准普尔、深股通、物联网、福建板块、移动支付、网络安全、脑机接口、融资融券、车联网(车路云)、通信、通信技术、通信网络设备及器件、通信设备、题材股,2026-09-18
002397,梦洁股份,服装家纺,纺织服饰,服装家纺,家纺,C2M概念、婴童概念、家纺、新零售、智能家居、服装家纺、湖南板块、电商概念、破发股、纺织服饰、网红经济,2026-09-18
002398,垒知集团,水泥,建筑材料,水泥,水泥制品,AIGC概念、ERP概念、人工智能、低市净率、医疗器械概念、建筑材料、房屋检测、数字经济、数据中心、数据安全、水利建设、水泥、水泥制品、破净股、碳交易、福建板块、装配建筑、转债标的,2026-09-18
002399,海普瑞,化学制药,医药生物,化学制药,化学制剂,AH股、创新药、化学制剂、化学制药、医药医疗风格、医药生物、单抗概念、富时罗素、小盘价值、小盘股、广东板块、标准普尔、深圳特区、深股通、特色药、生物疫苗、破发股、肝素概念、融资融券,2026-09-18
002400,省广集团,广告营销,传媒,广告营销,营销代理,AIGC概念、AI应用、云计算、传媒、体育产业、创投、区块链、参股新三板、大数据、央国企改革、富时罗素、小盘成长、小盘股、小红书概念、广东板块、广告营销、快手概念、抖音概念(字节概念)、数字经济、数据中心、深股通、百度概念、破增发价股、网红经济、营销代理、虚拟数字人、融资融券,2026-09-18
002401,中远海科,IT服务Ⅱ,计算机,IT服务Ⅱ,IT服务Ⅲ,ETC、IT服务Ⅱ、IT服务Ⅲ、上海板块、中字头、云计算、互联网服务、人工智能、养老金、区块链、华为概念、大数据、央国企改革、安防概念、数字经济、数据中心、数据要素、智慧城市、机器视觉、海南自贸、深股通、统一大市场、融资融券、计算机、长江三角、阿里概念,2026-09-18
002402,和而泰,家电零部件Ⅱ,家用电器,家电零部件Ⅱ,家电零部件Ⅲ,5G概念、DeepSeek概念、QFII重仓、一带一路、中盘成长、中盘股、中证500、人工智能、储能概念、军工、半导体概念、华为海思、卫星互联网、商业航天、国产芯片、大数据、家用电器、家电零部件Ⅱ、家电零部件Ⅲ、富时罗素、小米概念、小米汽车、广东板块、智能家居、智能穿戴、机器人概念、标准普尔、毫米波概念、氮化镓、汽车热管理、消费电子概念、消费风格、深圳特区、深成500、深股通、物联网、第三代半导体、融资融券、通信技术,2026-09-18
002403,爱仕达,小家电,家用电器,小家电,厨房小家电,2026中报首亏、QFII重仓、减速器、厨房小家电、参股保险、土地流转、家用电器、小家电、换电概念、机器人概念、浙江板块、破发股、跨境电商、长江三角,2026-09-18
002404,嘉欣丝绸,服装家纺,纺织服饰,服装家纺,非运动服装,C2M概念、价值股、光伏概念、创投、抗菌面料、服装家纺、浙江板块、电商概念、纺织服饰、绿色电力、贬值受益、跨境电商、退税商店、长江三角、零售概念、非运动服装,2026-09-18
002405,四维图新,软件开发,计算机,软件开发,垂直应用软件,人工智能、低空经济、北京板块、区块链、华为概念、华为汽车、卫星导航、国产芯片、国产软件、垂直应用软件、大数据、富时罗素、小盘价值、小盘股、小米汽车、工业互联网、数据要素、智能驾驶、机器人概念、标准普尔、汽车芯片、深成500、深股通、特斯拉概念、独角兽、破发股、破增发价股、股权分散、胎压监测、融资融券、计算机、超清视频、车联网(车路云)、软件开发、阿里概念,2026-09-18
002406,远东传动,汽车零部件,汽车,汽车零部件,底盘与发动机系统,2026一季报预增、2026中报预增、中俄贸易概念、军工、军民融合、华为概念、底盘与发动机系统、新能源车、汽车、汽车零部件、河南板块、深股通,2026-09-18
002407,多氟多,化学制品,基础化工,化学制品,氟化工,2026中报预增、PVDF概念、QFII重仓、中盘价值、中盘股、中证500、储能概念、创投、化学制品、化工原料、半导体概念、固态电池、国产芯片、基础化工、富时罗素、新材料、新能源车、标准普尔、氟化工、氟化工概念、河南板块、深成500、深股通、特斯拉概念、独角兽、电池技术、股权激励、融资融券、钠离子电池、锂电池概念,2026-09-18
002408,齐翔腾达,炼化及贸易,石油石化,炼化及贸易,其他石化,2026中报预增、其他石化、央国企改革、富时罗素、小盘价值、小盘股、山东板块、标准普尔、氢能源、深成500、深股通、炼化及贸易、环氧丙烷、石油石化、融资融券、降解塑料,2026-09-18
002409,雅克科技,半导体,电子,半导体,半导体材料,MSCI中国、OLED、专精特新、中盘成长、中盘股、中芯概念、中证500、光刻胶、半导体、半导体材料、半导体概念、国产芯片、天然气、存储芯片、富时罗素、工业气体、标准普尔、氟化工概念、江苏板块、深成500、深股通、电子、百元股、磷化工、科技风格、融资融券、高带宽内存,2026-09-18
002410,广联达,软件开发,计算机,软件开发,垂直应用软件,AI应用、AI智能体、中证500、京津冀、人工智能、北京板块、国产软件、在线教育、垂直应用软件、央视50_、小盘价值、小盘股、数字孪生、标准普尔、水利建设、深成500、深股通、物联网、破增发价股、融资融券、计算机、软件开发、雄安新区,2026-09-18
002411,必康退,,医药生物,医药商业,医药商业,,2026-09-18
002412,汉森制药,中药Ⅱ,医药生物,中药Ⅱ,中药Ⅲ,2026中报预增、中药Ⅱ、中药Ⅲ、中药概念、医药生物、参股银行、幽门螺杆菌概念、湖南板块、病原体防治、肝炎概念、融资融券,2026-09-18
002413,雷科防务,军工电子Ⅱ,国防军工,军工电子Ⅱ,军工电子Ⅲ,5G概念、6G概念、DeepSeek概念、人工智能、低空经济、养老概念、军工、军工电子Ⅱ、军工电子Ⅲ、军民融合、北京板块、华为概念、卫星互联网、卫星导航、商业航天、国产芯片、国防军工、大飞机、存储芯片、小盘成长、小盘股、无人机、智能驾驶、机构重仓、标准普尔、毫米波概念、海洋经济、深股通、空间站概念、算力概念、股权分散、融资融券、车联网(车路云)、边缘计算、通信技术、长江三角,2026-09-18
002414,高德红外,军工电子Ⅱ,国防军工,军工电子Ⅱ,军工电子Ⅲ,2026中报预增、MSCI中国、中盘成长、中盘股、中证500、人工智能、传感器、先进制造风格、全息技术、养老金、军工、军工电子Ⅱ、军工电子Ⅲ、军民融合、医疗器械概念、半导体概念、华为昇腾、华为概念、商业航天、国产芯片、国防军工、安防概念、富时罗素、无人机、智能家居、智能驾驶、标准普尔、毫米波概念、深成500、深股通、湖北板块、湖北自贸、融资融券、车联网(车路云),2026-09-18
002415,海康威视,计算机设备,计算机,计算机设备,安防设备,AI应用、HS300_、MSCI中国、中特估、乡村振兴、云计算、人工智能、光纤概念、国产芯片、多模态AI、大数据、大盘股、央国企改革、央视50_、存储芯片、安防概念、安防设备、新型工业化、无人机、智慧城市、智能驾驶、机器人概念、权重股、标准普尔、浙江板块、深成500、深股通、深证100R、物联网、生物识别、科技风格、茅指数、虚拟现实、融资融券、行业龙头、计算机、计算机设备、超清视频、车联网(车路云)、边缘计算、长江三角,2026-09-18
002416,爱施德,专业连锁Ⅱ,商贸零售,专业连锁Ⅱ,专业连锁Ⅲ,2026中报预减、专业连锁Ⅱ、专业连锁Ⅲ、互联网金融、内贸流通、区块链、参股保险、商贸零售、富时罗素、小盘价值、小盘股、广东板块、新消费、新零售、标准普尔、深圳特区、深成500、深股通、物联网、电子烟、电池技术、破发股、算力概念、网红经济、苹果概念、荣耀概念、融资融券、锂电池概念、阿里概念,2026-09-18
002417,深南退,,基础化工,化学制品,塑料制品,,2026-09-18
002418,康盛股份,家电零部件Ⅱ,家用电器,家电零部件Ⅱ,家电零部件Ⅲ,储能概念、家用电器、家电零部件Ⅱ、家电零部件Ⅲ、新能源车、智能驾驶、机构重仓、氢能源、汽车热管理、浙江板块、液冷服务器、深股通、电池技术、石墨烯、算力概念、超级电容,2026-09-18
002419,天虹股份,一般零售,商贸零售,一般零售,百货,AI应用、一般零售、内贸流通、商贸零售、央国企改革、富时罗素、广东板块、新零售、标准普尔、深圳特区、深股通、电商概念、白酒、百货、破发股、粮食概念、融资融券、跨境电商,2026-09-18
002420,毅昌科技,综合Ⅱ,综合,综合Ⅱ,综合Ⅲ,人形机器人、低空经济、储能概念、华为汽车、广东板块、新能源车、机器人概念、汽车热管理、破发股、综合、综合Ⅱ、综合Ⅲ、超清视频,2026-09-18
002421,达实智能,IT服务Ⅱ,计算机,IT服务Ⅱ,IT服务Ⅲ,AI应用、AI智能体、IT服务Ⅱ、IT服务Ⅲ、QFII重仓、人工智能、信创、华为概念、国产软件、富时罗素、广东板块、建筑节能、数字孪生、数字经济、机构重仓、标准普尔、深股通、物联网、破增发价股、融资融券、计算机、边缘计算、雄安新区、鸿蒙概念,2026-09-18
002422,科伦药业,化学制药,医药生物,化学制药,化学制剂,HS300_、MSCI中国、中盘股、创新药、化学制剂、化学制药、医药医疗风格、医药生物、合成生物、四川板块、基金重仓、富时罗素、幽门螺杆菌概念、标准普尔、流感、深成500、深股通、深证100R、肝炎概念、融资融券、西部大开发,2026-09-18
002423,中粮资本,多元金融,非银金融,多元金融,金融控股,中字头、中证500、互联网金融、区块链、参股保险、参股期货、多元金融、央国企改革、富时罗素、小盘价值、小盘股、河南板块、深成500、深股通、破净股、破增发价股、融资融券、金融地产风格、金融控股、阿里概念、非银金融,2026-09-18
002424,ST百灵,中药Ⅱ,医药生物,中药Ⅱ,中药Ⅲ,CAR-T细胞疗法、ST股、中药Ⅱ、中药Ⅲ、中药概念、乡村振兴、互联网医疗、创新药、医药生物、参股银行、富时罗素、工业大麻、标准普尔、流感、特色药、独家药品、病原体防治、肝炎概念、贵州板块,2026-09-18
002425,凯撒文化,游戏Ⅱ,传媒,游戏Ⅱ,游戏Ⅲ,2026中报扭亏、人工智能、传媒、元宇宙概念、创投、广东板块、影视概念、微利股、快手概念、抖音概念(字节概念)、游戏Ⅱ、游戏Ⅲ、破发股、破增发价股、网络游戏、虚拟现实、谷子经济,2026-09-18
002426,胜利精密,消费电子,电子,消费电子,消费电子零部件及组装,5G概念、AIPC、AI眼镜、低价股、华为概念、复合集流体、小盘股、智能穿戴、机器视觉、标准普尔、江苏板块、消费电子、消费电子概念、消费电子零部件及组装、深股通、特斯拉概念、电子、电池技术、破发股、股权分散、苹果概念、融资融券、通信技术、锂电池概念,2026-09-18
002427,尤夫股份,化学纤维,基础化工,化学纤维,涤纶,化学纤维、基础化工、央国企改革、新能源车、机构重仓、浙江板块、海工装备、海洋经济、涤纶、深股通、破发股、破增发价股,2026-09-18
002428,云南锗业,小金属,有色金属,小金属,其他小金属,2026中报预增、MSCI中国、中盘成长、中盘股、云南板块、光伏概念、光纤概念、光通信模块、其他小金属、半导体概念、华为概念、商业航天、富时罗素、小金属、小金属概念、有色金属、深成500、深股通、稀缺资源、第三代半导体、融资融券、西部大开发、通信技术、高市净率,2026-09-18
002429,兆驰股份,黑色家电,家用电器,黑色家电,彩电,AI应用、AI眼镜、CPO概念、LED概念、MSCI中国、MicroLED、MiniLED、PCB、中盘股、中证500、光纤概念、光通信模块、央国企改革、家用电器、富时罗素、小米概念、广东板块、彩电、拼多多概念、显示技术、智能电视、标准普尔、汽车芯片、消费电子概念、消费风格、深圳特区、深成500、深股通、短剧互动游戏、融资融券、超清视频、通信技术、黑色家电,2026-09-18
002430,杭氧股份,化学制品,基础化工,化学制品,其他化学制品,一带一路、中盘价值、中盘股、中证500、其他化学制品、化学制品、半导体概念、可控核聚变、商业航天、基础化工、天然气、央国企改革、富时罗素、工业气体、标准普尔、氢能源、氦气概念、油气资源、浙江板块、深成500、深股通、煤化工概念、融资融券、转债标的,2026-09-18
002431,ST棕榈,基础建设,建筑装饰,基础建设,园林工程,PPP模式、ST股、乡村振兴、低价股、体育产业、元宇宙概念、园林工程、土地流转、基础建设、央国企改革、工程建设、建筑装饰、新型城镇化、水利建设、河南板块、破发股、破增发价股、粤港自贸、节能环保、虚拟现实,2026-09-18
002432,九安医疗,医疗器械,医药生物,医疗器械,体外诊断,2026中报预增、DeepSeek概念、Kimi概念、QFII重仓、中盘价值、中盘股、中证500、互联网医疗、体外诊断、体外诊断概念、创投、创新医疗服务、医疗器械、医疗器械概念、医药医疗风格、医药生物、基金重仓、多模态AI、天津板块、小米概念、数据要素、新能源车、新零售、智能穿戴、机构重仓、流感、消费电子概念、深成500、深股通、物联网、病原体防治、精准诊断、融资融券、贬值受益,2026-09-18
002433,太安退,,医药生物,中药生产,中药生产,,2026-09-18
002434,万里扬,汽车零部件,汽车,汽车零部件,底盘与发动机系统,2026中报预减、人形机器人、储能概念、减速器、富时罗素、底盘与发动机系统、新能源车、机器人执行器、机器人概念、标准普尔、汽车、汽车零部件、浙江板块、深股通、电网概念、破增发价股、虚拟电厂、融资融券,2026-09-18
002435,ST长康,,医药生物,化学制药,化学制剂,,2026-09-18
002436,兴森科技,元件,电子,元件,印制电路板,2026中报预增、5G概念、MSCI中国、PCB、中盘股、中证500、低空经济、元件、光通信模块、军工、军民融合、半导体概念、华为概念、卫星互联网、印制电路板、国产芯片、基金重仓、富时罗素、广东板块、机器人概念、柔性屏(折叠屏)、标准普尔、深圳特区、深成500、深股通、玻璃基板、电子、科技风格、融资融券、趋势股、通信技术、高带宽内存,2026-09-18
002437,誉衡药业,化学制药,医药生物,化学制药,化学制剂,2026一季报预增、创新药、化学制剂、化学制药、医药生物、机构重仓、标准普尔、深股通、病原体防治、维生素、肝炎概念、股权分散、融资融券、黑龙江,2026-09-18
002438,江苏神通,通用设备,机械设备,通用设备,金属制品,低空经济、军工、可控核聚变、数据中心、机械设备、核能核电、氢能源、江苏板块、液冷服务器、深股通、节能环保、融资融券、超超临界发电、通用设备、金属制品、风能,2026-09-18
002439,启明星辰,软件开发,计算机,软件开发,横向通用软件,2026一季报预增、2026中报扭亏、DeepSeek概念、VPN、云计算、人工智能、低空经济、信创、军民融合、北京板块、华为概念、国产软件、大数据、央国企改革、富时罗素、小盘股、小米概念、工业互联网、数据安全、数据要素、智慧城市、标准普尔、横向通用软件、深成500、深股通、物联网、电子身份证、破增发价股、网络安全、融资融券、计算机、跨境支付、车联网(车路云)、软件开发、量子科技、鸿蒙概念,2026-09-18
002440,闰土股份,化学制品,基础化工,化学制品,纺织化学制品,2026中报预增、养老金、化学制品、基础化工、富时罗素、小盘价值、小盘股、标准普尔、氟化工概念、浙江板块、深股通、纺织化学制品、融资融券,2026-09-18
002441,众业达,电网设备,电力设备,电网设备,配电设备,DeepSeek概念、ERP概念、充电桩、内贸流通、广东板块、数字经济、新能源车、智能电网、机器人概念、深股通、物联网、电力设备、电商概念、电网概念、电网设备、破增发价股、职业教育、融资融券、配电设备,2026-09-18
002442,龙星科技,橡胶,基础化工,橡胶,炭黑,专精特新、京津冀、基础化工、新材料、新能源车、昨日高振幅、昨日高换手、最近多板、橡胶、河北板块、炭黑、煤化工概念、碳基材料、转债标的,2026-09-18
002443,金洲管道,特钢Ⅱ,钢铁,特钢Ⅱ,特钢Ⅲ,2026一季报预增、地下管网、天然气、央国企改革、新型城镇化、昨日高振幅、智慧城市、水利建设、油气设服、油气资源、浙江板块、海绵城市、液冷服务器、特钢Ⅱ、特钢Ⅲ、趋势股、近期新高、钢铁,2026-09-18
002444,巨星科技,通用设备,机械设备,通用设备,其他通用设备,IPO受益、MSCI中国、QFII重仓、中盘价值、中盘股、中证500、人工智能、储能概念、其他通用设备、养老金、参股银行、富时罗素、智能家居、智能驾驶、机器人概念、机械设备、标准普尔、浙江板块、深成500、深股通、激光雷达、电商概念、融资融券、贬值受益、跨境电商、通用设备,2026-09-18
002445,中南文化,通用设备,机械设备,通用设备,金属制品,IPO受益、央国企改革、影视概念、机械设备、江苏板块、海工装备、深股通、绿色电力、融资融券、通用设备、金属制品,2026-09-18
002446,盛路通信,军工电子Ⅱ,国防军工,军工电子Ⅱ,军工电子Ⅲ,5G概念、6G概念、低空经济、军工、军工电子Ⅱ、军工电子Ⅲ、军民融合、华为概念、卫星互联网、卫星导航、商业航天、国产芯片、国防军工、富时罗素、广东板块、无人机、智能驾驶、机构重仓、标准普尔、毫米波概念、深股通、物联网、股权分散、融资融券、车联网(车路云)、通信技术,2026-09-18
002447,晨鑫退,,互联网,互联网服务,游戏娱乐,,2026-09-18
002448,中原内配,汽车零部件,汽车,汽车零部件,底盘与发动机系统,2026中报预增、一带一路、人形机器人、华为概念、底盘与发动机系统、数据中心、无人机、智能驾驶、机器人概念、氢能源、汽车、汽车零部件、河南板块、深股通、燃料电池概念、电池技术、贬值受益、风能,2026-09-18
