# GoalTracker 股价数据（行情快照，由 fetch_prices.py 生成）
股票代码,公司,现价,涨跌额,涨跌幅%,5日涨幅%,本月涨幅%,市盈率(动),市净率,换手率%,成交量(手),成交额(亿),总市值(亿),流通市值(亿),总股本(亿股)
301225.SZ,恒勃股份,61.17,-0.28,-0.46,11.5,2.16,92.14,5.41,0.44,1943.0,0.1186,88.1412,26.9074,1.4409
301226.SZ,祥明智能,33.69,-0.17,-0.5,15.3,11.31,253.26,4.03,0.18,1926.0,0.065,36.6547,36.6547,1.088
301227.SZ,森鹰窗业,33.72,-1.08,-3.1,6.37,0.81,-57.46,2.79,0.42,3128.0,0.1065,44.328,24.9219,1.3146
301228.SZ,实朴检测,56.64,-0.65,-1.13,-2.9,-20.08,-6644.98,9.97,0.06,745.0,0.0422,69.2796,67.7425,1.2232
301229.SZ,纽泰格,11.82,-0.07,-0.59,4.6,-5.31,-59.85,1.74,0.17,2230.0,0.0264,21.4865,15.281,1.8178
301230.SZ,泓博医药,40.13,0.53,1.34,30.17,30.6,126.37,7.17,1.57,25629.0,1.0231,72.6117,65.3107,1.8094
301231.SZ,荣信文化,29.84,-0.74,-2.42,13.24,-4.89,-77.21,3.12,1.08,7063.0,0.2137,25.185,19.5246,0.844
301232.SZ,飞沃科技,92.11,0.24,0.26,0.95,-13.04,814.05,6.93,0.14,863.0,0.0792,96.9793,57.6547,1.0529
301233.SZ,盛帮股份,34.81,0.77,2.26,12.29,6.08,35.69,2.52,0.34,1344.0,0.0465,24.982,13.7068,0.7177
301234.SZ,五洲医疗,128.01,-11.73,-8.39,18.52,32.75,283.29,11.41,2.32,9353.0,1.2325,87.0468,51.6111,0.68
301235.SZ,华康洁净,47.82,-0.32,-0.66,4.71,3.6,249.16,2.55,0.41,4234.0,0.2025,66.5894,49.8372,1.3925
301236.SZ,软通动力,37.64,-0.18,-0.48,3.29,-0.5,-73.61,2.98,0.07,6351.0,0.2396,389.6452,326.6991,10.3519
301237.SZ,和顺科技,40.36,0.86,2.18,1.31,2.85,288.28,3.88,0.14,1112.0,0.0442,44.9088,32.6192,1.1127
301238.SZ,瑞泰新材,16.11,-0.01,-0.06,-0.8,-1.53,32.65,1.66,0.04,3220.0,0.0519,118.14,118.14,7.3333
301239.SZ,普瑞眼科,31.75,-0.26,-0.81,2.92,-5.45,26.96,2.28,0.07,1005.0,0.0319,47.504,45.099,1.4962
301246.SZ,宏源药业,17.95,-0.08,-0.44,3.16,-6.99,22.98,1.56,0.15,3616.0,0.0649,71.8012,42.7382,4.0001
301248.SZ,杰创智能,58.93,-0.07,-0.12,8.15,-1.34,-1388.81,5.95,0.21,2396.0,0.1408,90.5784,66.1953,1.5371
301251.SZ,威尔高,90.32,4.32,5.02,10.44,61.51,192.25,11.01,1.09,19030.0,1.6771,170.3111,157.0061,1.8856
301252.SZ,同星科技,40.72,0.33,0.82,13.08,12.19,67.24,5.06,0.13,1815.0,0.0741,68.9086,55.2599,1.6923
301255.SZ,通力科技,19.23,-0.05,-0.26,4.97,-5.78,-1711.66,2.76,0.13,1692.0,0.0325,29.2911,25.7061,1.5232
301256.SZ,华融化学,10.09,-0.04,-0.39,2.96,-1.37,78.19,2.83,0.07,3219.0,0.0325,48.432,48.432,4.8
301257.SZ,普蕊斯,42.04,0.32,0.77,10.54,5.44,640.72,2.62,0.26,1949.0,0.0813,33.2136,31.6587,0.79
301258.SZ,富士莱,27.0,-0.11,-0.41,10.7,3.68,-84.66,1.35,0.1,936.0,0.0254,24.7509,24.6067,0.9167
301259.SZ,艾布鲁,20.59,0.23,1.13,3.57,-4.57,-56.83,5.64,0.16,2288.0,0.0465,46.5746,29.8677,2.262
301260.SZ,格力博,11.9,0.0,0.0,4.75,-2.94,-17.44,1.43,0.04,768.0,0.0091,57.5495,24.4552,4.8361
301261.SZ,恒工精密,55.53,-0.4,-0.72,2.95,-1.44,28.24,3.58,0.05,518.0,0.0288,58.5665,58.073,1.0547
