# GoalTracker 财报跟踪
股票代码,公司名称,行业,板块,林奇类型,披露日期,报告期,季度,营业收入,营收同比,毛利润,净利润,扣非净利润,扣非净利同比,经营现金流,销售收现,资本开支,ROE,毛利率,预期营收,预期净利,预期营收同比,预期净利同比
002460.SZ,赣锋锂业,有色金属,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,230.96945425049998,175.7483215518,72.7758,42.571648421,38.4822572039,521.56377938294,13.282460069,182.2503,18.0064,9.09,31.5088634155,459.182727272727,73.7618181818182,98.937719416207,357.301223550561
002512.SZ,ST达华,计算机,深交所风险警示板A股,,2026-08-29,2026-06-30,2026Q2,11.491432465499999,51.0060471356,1.4972,0.33283402079999996,-0.0356297507,94.919974489704,0.3673807279,10.8812,0.0145,10.89,13.0289410523,,,,
603045.SH,福达合金,有色金属,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,43.993041064399996,96.3546416783,6.4286,3.0999835166,3.0412189989,2891.06452681682,-6.6075043096,47.0697,0.1923,25.28,14.6127609221,90.725,5.54,80.066875580804,412.681254724705
600733.SH,北汽蓝谷,汽车,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,115.96856810930001,21.8562898136,4.8783,-19.3834896159,-19.9297762925,14.668038171816,-17.50160461,79.5311,12.1563,-39.29,4.2065500278,563.975,-23.022,101.850837476333,49.550036662383
002614.SZ,奥佳华,家用电器,深交所主板A股,,2026-08-29,2026-06-30,2026Q2,27.0266664777,16.1396138526,8.463,-0.7392399572,-0.9154192588,-653.354923522004,2.4058836801,27.3704,0.5831,-1.71,31.3133602891,54.93,0.89565,7.982438825127,629.680151628391
600801.SH,华新建材,建筑材料,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,194.97106055,21.5027309629,61.5209,17.12791886,17.04203914,59.269947005715,26.93293008,175.025,11.3162,5.22,31.5538870315,398.570625,37.33875,12.755310217676,30.860164455308
601187.SH,厦门银行,银行,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,32.16435,19.6019533831,,12.42656,11.7478,8.808971613601,117.69345,,,4.31,,65.6598925,28.4247275,12.051135573393,7.883432020261
601882.SH,海天精工,机械设备,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,20.0529409973,20.5545364643,5.1701,2.829210443,2.1930016606000002,3.312140158253,1.7372856985,19.3109,1.2574,9.31,25.7824185619,38.0742857142857,5.1511,13.049882023636,20.075415769716
600127.SH,金健米业,农林牧渔,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,19.699471205,25.1895246544,1.1727,-0.0957908768,-0.1010118388,-223.283169615691,0.3778771617,27.5934,0.2167,-1.44,5.9528210047,,,,
002501.SZ,*ST利源,有色金属,深交所风险警示板A股,,2026-08-29,2026-06-30,2026Q2,1.1554020052,18.1552962331,-0.013,-0.3334022523,-0.3658837096,37.206301312334,-0.5639279538,0.8472,0.0212,-21.29,-1.1216089414,,,,
600165.SH,宁科生物,基础化工,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,2.7436887209,27.2646342225,-0.1652,-1.3246880722,-1.3277862609,0.554230362761,-2.0299860666,1.7901,0.5104,,-6.0221021627,,,,
600072.SH,中船科技,电力设备,上交所主板A股,,2026-08-29,2026-06-30,2026Q2,46.147643745399996,22.3421865371,-0.3523,-5.2093292827,-5.286535060199999,11.21898734216,-24.136073509099997,60.9541,7.3538,-6.91,-0.7633577589,,,,
000488.SZ,ST晨鸣,轻工制造,深交所风险警示板A股,,2026-08-29,2026-06-30,2026Q2,68.654289433,225.8961393216,-4.9387,-7.864750841799999,-10.8947704198,70.113350633805,3.2238298588,75.7613,0.4596,-150.65,-7.1936478591,,,,
